ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L,RESTAURANTPAIR941,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR941,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR941,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR941,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR940,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR940,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR940,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR940,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR1475,SYSTEM1.TXT,0.07692,0.10000,0.08696,1

ROUGE-1,RESTAURANTPAIR1475,SYSTEM1.TXT,0.07692,0.10000,0.08696,1

ROUGE-2,RESTAURANTPAIR1475,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1475,SYSTEM1.TXT,0.01818,0.02500,0.02105,1

ROUGE-L,RESTAURANTPAIR1476,SYSTEM1.TXT,0.06667,0.10000,0.08000,1

ROUGE-1,RESTAURANTPAIR1476,SYSTEM1.TXT,0.13333,0.20000,0.16000,1

ROUGE-2,RESTAURANTPAIR1476,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1476,SYSTEM1.TXT,0.03077,0.05000,0.03810,1

ROUGE-L,RESTAURANTPAIR1477,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR1477,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR1477,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1477,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR1478,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR1478,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR1478,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1478,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR1479,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR1479,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR1479,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1479,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR929,SYSTEM1.TXT,0.12500,0.18182,0.14815,1

ROUGE-1,RESTAURANTPAIR929,SYSTEM1.TXT,0.15789,0.27273,0.20000,1

ROUGE-2,RESTAURANTPAIR929,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR929,SYSTEM1.TXT,0.03529,0.06667,0.04615,1

ROUGE-L,RESTAURANTPAIR928,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR928,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR928,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR928,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR927,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR927,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR927,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR927,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR926,SYSTEM1.TXT,0.12500,0.09091,0.10526,1

ROUGE-1,RESTAURANTPAIR926,SYSTEM1.TXT,0.12500,0.09091,0.10526,1

ROUGE-2,RESTAURANTPAIR926,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR926,SYSTEM1.TXT,0.03333,0.02222,0.02667,1

ROUGE-L,RESTAURANTPAIR925,SYSTEM1.TXT,0.12500,0.18182,0.14815,1

ROUGE-1,RESTAURANTPAIR925,SYSTEM1.TXT,0.12500,0.18182,0.14815,1

ROUGE-2,RESTAURANTPAIR925,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR925,SYSTEM1.TXT,0.02857,0.04444,0.03478,1

ROUGE-L,RESTAURANTPAIR1470,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-1,RESTAURANTPAIR1470,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-2,RESTAURANTPAIR1470,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1470,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-L,RESTAURANTPAIR924,SYSTEM1.TXT,0.16667,0.18182,0.17391,1

ROUGE-1,RESTAURANTPAIR924,SYSTEM1.TXT,0.14286,0.18182,0.16000,1

ROUGE-2,RESTAURANTPAIR924,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR924,SYSTEM1.TXT,0.05000,0.06667,0.05714,1

ROUGE-L,RESTAURANTPAIR1471,SYSTEM1.TXT,0.11765,0.15385,0.13333,1

ROUGE-1,RESTAURANTPAIR1471,SYSTEM1.TXT,0.17647,0.21429,0.19355,1

ROUGE-2,RESTAURANTPAIR1471,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

ROUGE-SU4,RESTAURANTPAIR1471,SYSTEM1.TXT,0.04000,0.05000,0.04444,1

ROUGE-L,RESTAURANTPAIR923,SYSTEM1.TXT,0.00000,0.00000,0.00000,1

