pair_id,pr,re,f
pair_137,0,0,0
pair_1370,0,0,0
pair_1371,0.333333333,1,0.5
pair_1372,0.333333333,0.166666667,0.222222222
pair_1373,0,0,0
pair_1374,0.333333333,0.25,0.285714286
pair_1375,0,0,0
pair_1376,0.333333333,0.5,0.4
pair_1377,0,0,0
pair_1378,0,0,0
pair_1379,0.666666667,0.25,0.363636364
pair_138,0,0,0
pair_1380,0,0,0
pair_1381,0.125,0.111111111,0.117647059
pair_1382,0,0,0
pair_1383,0.125,1,0.222222222
pair_1384,0.125,0.166666667,0.142857143
pair_1385,0,0,0
pair_1386,0.125,0.25,0.166666667
pair_1387,0,0,0
pair_1388,0.125,0.5,0.2
pair_1389,0,0,0
pair_139,0,0,0
pair_1390,0,0,0
pair_1391,0,0,0
pair_1392,0,0,0
pair_1393,0,0,0
pair_1394,0,0,0
pair_1395,0,0,0
pair_1396,0,0,0
pair_1397,0,0,0
pair_1398,0,0,0
pair_1399,0,0,0
pair_14,0,0,0
pair_140,0,0,0
pair_1400,0,0,0
pair_1401,0,0,0
pair_1402,0,0,0
pair_1403,0,0,0
pair_1404,0,0,0
pair_1405,0,0,0
pair_1406,0,0,0
pair_1407,0,0,0
pair_1408,0,0,0
pair_1409,0.333333333,0.5,0.4
pair_141,0,0,0
pair_1410,0,0,0
pair_1411,0,0,0
pair_1412,0,0,0
pair_1413,0,0,0
pair_1414,0,0,0
pair_1415,0,0,0
pair_1416,0,0,0
pair_1417,0,0,0
pair_1418,0,0,0
pair_1419,0,0,0
pair_142,0,0,0
pair_1420,0,0,0
pair_1421,0,0,0
pair_1422,0,0,0
pair_1423,0,0,0
pair_1424,0,0,0
pair_1425,0,0,0
pair_1426,0,0,0
pair_1427,0,0,0
pair_1428,0,0,0
pair_1429,0.2,0.111111111,0.142857143
pair_143,0,0,0
pair_1430,0,0,0
pair_1431,0,0,0
pair_1432,0,0,0
pair_1433,0,0,0
pair_1434,0,0,0
pair_1435,0,0,0
pair_1436,0,0,0
pair_1437,0,0,0
pair_1438,0,0,0
pair_1439,0,0,0
pair_144,0,0,0
pair_1440,0,0,0
pair_1441,0,0,0
pair_1442,0,0,0
pair_1443,0,0,0
pair_1444,0,0,0
pair_1445,0,0,0
pair_1446,0,0,0
pair_1447,0,0,0
pair_1448,0,0,0
pair_1449,0,0,0
pair_145,0,0,0
pair_1450,0.1,0.111111111,0.105263158
pair_1451,0,0,0
pair_1452,0,0,0
pair_1453,0.111111111,0.1,0.105263158
pair_1454,0.111111111,0.076923077,0.090909091
pair_1455,0.111111111,0.111111111,0.111111111
pair_1456,0,0,0
pair_1457,0,0,0
pair_1458,0,0,0
pair_1459,0,0,0
pair_146,0,0,0
pair_1460,0,0,0
pair_1461,0,0,0
pair_1462,0,0,0
pair_1463,0,0,0
pair_1464,0,0,0
pair_1465,0,0,0
pair_1466,0,0,0
pair_1467,0,0,0
pair_1468,0,0,0
pair_1469,0,0,0
pair_147,0,0,0
pair_1470,0,0,0
pair_1471,0.2,0.111111111,0.142857143
pair_1472,0,0,0
pair_1473,0,0,0
pair_1474,0,0,0
pair_1475,0.125,0.125,0.125
pair_1476,0,0,0
pair_1477,0,0,0
pair_1478,0,0,0
pair_1479,0,0,0
pair_148,0.333333333,0.25,0.285714286
pair_1480,0,0,0
pair_1481,0,0,0
pair_1482,0,0,0
pair_1483,0,0,0
pair_1484,0,0,0
pair_1485,0,0,0
pair_1486,0,0,0
pair_1487,0,0,0
pair_1488,0,0,0
pair_1489,0,0,0
pair_149,0,0,0
pair_1490,0,0,0
pair_1491,0,0,0
pair_1492,0,0,0
pair_1493,0,0,0
pair_1494,0.25,0.142857143,0.181818182
pair_1495,0,0,0
pair_1496,0,0,0
pair_1497,0,0,0
pair_1498,0,0,0
pair_1499,0,0,0
pair_15,0,0,0
pair_150,0,0,0
pair_1500,0,0,0
pair_1501,0,0,0
pair_1502,0,0,0
pair_1503,0,0,0
pair_1504,0,0,0
pair_1505,0,0,0
pair_1506,0,0,0
pair_1507,0,0,0
pair_1508,0.142857143,0.111111111,0.125
pair_1509,0,0,0
pair_151,0,0,0
pair_1510,0,0,0
pair_1511,0,0,0
pair_1512,0,0,0
pair_1513,0,0,0
pair_1514,0.166666667,0.333333333,0.222222222
pair_1515,0,0,0
pair_1516,0,0,0
pair_1517,0,0,0
pair_1518,0,0,0
pair_1519,0,0,0
pair_152,0,0,0
pair_1520,0,0,0
pair_1521,0.5,0.166666667,0.25
pair_1522,0,0,0
pair_1523,0,0,0
pair_1524,0,0,0
pair_1525,0,0,0
pair_1526,0,0,0
pair_1527,0,0,0
pair_1528,0,0,0
pair_1529,0,0,0
pair_153,0,0,0
pair_1530,0,0,0
pair_1531,0,0,0
pair_1532,0,0,0
pair_1533,0,0,0
pair_1534,0,0,0
pair_1535,0,0,0
pair_1536,0,0,0
pair_1537,0,0,0
pair_1538,0,0,0
pair_1539,0,0,0
pair_154,0.333333333,0.111111111,0.166666667
pair_1540,0,0,0
pair_1541,0,0,0
pair_1542,0,0,0
pair_1543,0,0,0
pair_1544,0,0,0
pair_1545,0,0,0
pair_1546,0,0,0
pair_1547,0,0,0
pair_1548,0,0,0
pair_1549,0,0,0
pair_155,0,0,0
pair_1550,0,0,0
pair_1551,0,0,0
pair_1552,0.25,1,0.4
pair_1553,0,0,0
pair_1554,0,0,0
pair_1555,0,0,0
pair_1556,0,0,0
pair_1557,0,0,0
pair_1558,0,0,0
pair_1559,0,0,0
pair_156,0,0,0
pair_1560,0,0,0
pair_1561,0,0,0
pair_1562,0,0,0
pair_1563,0.2,0.111111111,0.142857143
pair_1564,0,0,0
pair_1565,0,0,0
pair_1566,0,0,0
pair_1567,0,0,0
pair_1568,0,0,0
pair_1569,0,0,0
pair_157,0,0,0
pair_1570,0,0,0
pair_1571,0.25,0.125,0.166666667
pair_1572,0,0,0
pair_1573,0,0,0
pair_1574,0,0,0
pair_1575,0,0,0
pair_1576,0,0,0
pair_1577,0,0,0
pair_1578,0,0,0
pair_1579,0,0,0
pair_158,0,0,0
pair_1580,0,0,0
pair_1581,0,0,0
pair_1582,0,0,0
pair_1583,0,0,0
pair_1584,0,0,0
pair_1585,0,0,0
pair_1586,0,0,0
pair_1587,1,0.25,0.4
pair_1588,0,0,0
pair_1589,0,0,0
pair_159,0,0,0
pair_1590,0,0,0
pair_1591,0,0,0
pair_1592,0,0,0
pair_1593,0,0,0
pair_1594,0.142857143,1,0.25
pair_1595,0,0,0
pair_1596,0.142857143,0.25,0.181818182
pair_1597,0,0,0
pair_1598,0,0,0
pair_1599,0,0,0
pair_16,0,0,0
pair_160,0,0,0
pair_1600,0,0,0
pair_1601,0,0,0
pair_1602,0,0,0
pair_1603,0,0,0
pair_1604,0,0,0
pair_1605,0,0,0
pair_1606,0,0,0
pair_1607,0,0,0
pair_1608,0,0,0
pair_1609,0,0,0
pair_161,0.076923077,0.142857143,0.1
pair_1610,0,0,0
pair_1611,0,0,0
pair_1612,0,0,0
pair_1613,0,0,0
pair_1614,0,0,0
pair_1615,0,0,0
pair_1616,0,0,0
pair_1617,0.666666667,0.25,0.363636364
pair_1618,0,0,0
pair_1619,0,0,0
pair_162,0,0,0
pair_1620,0,0,0
pair_1621,0,0,0
pair_1622,0,0,0
pair_1623,0,0,0
pair_1624,0,0,0
pair_1625,0,0,0
pair_1626,0,0,0
pair_1627,0,0,0
pair_1628,0,0,0
pair_1629,0,0,0
pair_163,0,0,0
pair_1630,0,0,0
pair_1631,0,0,0
pair_1632,0,0,0
pair_1633,0,0,0
pair_1634,0,0,0
pair_1635,0,0,0
pair_164,0,0,0
pair_165,0,0,0
pair_166,0,0,0
pair_167,0,0,0
pair_168,0,0,0
pair_169,0,0,0
pair_17,0,0,0
pair_170,0,0,0
pair_171,0,0,0
pair_172,0,0,0
pair_173,0,0,0
pair_174,0,0,0
pair_175,0,0,0
pair_176,0,0,0
pair_177,0,0,0
pair_178,0,0,0
pair_179,0,0,0
pair_18,0,0,0
pair_180,0,0,0
pair_181,0,0,0
pair_182,0,0,0
pair_183,0,0,0
pair_184,0,0,0
pair_185,0,0,0
pair_186,0,0,0
pair_187,0,0,0
pair_188,0,0,0
pair_189,0,0,0
pair_19,0,0,0
pair_190,0,0,0
pair_191,0,0,0
pair_192,0.2,0.25,0.222222222
pair_193,0,0,0
pair_194,0,0,0
pair_195,0,0,0
pair_196,0,0,0
pair_197,0,0,0
pair_198,0,0,0
pair_199,0,0,0
pair_2,0,0,0
pair_20,0,0,0
pair_200,0,0,0
pair_201,0,0,0
pair_202,0,0,0
pair_203,0,0,0
pair_204,0,0,0
pair_205,0.166666667,0.333333333,0.222222222
pair_206,0,0,0
pair_207,0,0,0
pair_208,0,0,0
pair_209,0,0,0
pair_21,0,0,0
pair_210,0,0,0
pair_211,0,0,0
pair_212,0,0,0
pair_213,0,0,0
pair_214,0,0,0
pair_215,0,0,0
pair_216,0,0,0
pair_217,0,0,0
pair_218,0,0,0
pair_219,0,0,0
pair_22,0,0,0
pair_220,0,0,0
pair_221,0,0,0
pair_222,0,0,0
pair_223,0,0,0
pair_224,0,0,0
pair_225,0,0,0
pair_226,0,0,0
pair_227,0.3,1,0.461538462
pair_228,0,0,0
pair_229,0,0,0
pair_23,0,0,0
pair_230,0,0,0
pair_231,0,0,0
pair_232,0,0,0
pair_233,0,0,0
pair_234,0.1,0.25,0.142857143
pair_235,0,0,0
pair_236,0,0,0
pair_237,0,0,0
pair_238,0,0,0
pair_239,0,0,0
pair_24,0,0,0
pair_240,0,0,0
pair_241,1,0.25,0.4
pair_242,0,0,0
pair_243,0,0,0
pair_244,0,0,0
pair_245,0,0,0
pair_246,0,0,0
pair_247,0,0,0
pair_248,0,0,0
